Title,URL,Description,Stars,Last Updated
TAHIR0110/ThereForYou,https://github.com/TAHIR0110/ThereForYou,"ThereForYou: Your mental health ally. Kai, our AI assistant, offers compassionate support. Track your mood trends, find solace in a secur…",90,"on Feb 3, 2025"
shreyasharma04/HealthChatbot,https://github.com/shreyasharma04/HealthChatbot,"... used are diagnostics, patient engagement outside medical facilities, and mental health. In our major we are working on diagnostic. 📃 …",126,"on Feb 21, 2022"
Anil951/Early-detection-of-mental-health,https://github.com/Anil951/Early-detection-of-mental-health,"This project develops a predictive model to identify early signs of mental health issues in adolescents using social media activity, scho…",7,"on Nov 13, 2024"
zenn-ai/zen,https://github.com/zenn-ai/zen,Zen - AI Mental Health Counselor,7,"on Dec 22, 2023"
demoslayer/Mental-health-Chatbot-MERN-STACK,https://github.com/demoslayer/Mental-health-Chatbot-MERN-STACK,The Mental Health Chatbot is a MERN stack web app that provides users with mental health support through an AI-powered chatbot. Users can…,13,"on Oct 6, 2024"
Bhargav1144/Mental_Health_Chatbot,https://github.com/Bhargav1144/Mental_Health_Chatbot,"A Streamlit-based AI chatbot offering compassionate mental health support using models like Mistral, LLaMA, DeepSeek, and Cohere. It prov…",5,"on Mar 4, 2025"
djpapzin/MentalWellnessChatbot,https://github.com/djpapzin/MentalWellnessChatbot,"AI chatbot for mental health advice using Streamlit, LangChain, and Llama 2 by Meta. Retrieves info from PDFs and offers real-time responses",4,"on Oct 13, 2023"
h8-hackathon/livy,https://github.com/h8-hackathon/livy,Online Counseling App for Mental Health,8,"on Mar 10, 2023"
Elliot-D-Hill/abcd,https://github.com/Elliot-D-Hill/abcd,Leveraging the largest US study of adolescent neurodevelopment to train AI models for longitudinal mental health prediction,12,"on Nov 26, 2025"
annu12340/Haven,https://github.com/annu12340/Haven,"Winner of the international MongoDB AI Hackathon, Haven is an AI-powered solution empowering women in abusive situations with discreet h…",29,"on Dec 29, 2024"
Aditya-Ohri/Self.ai,https://github.com/Aditya-Ohri/Self.ai,An AI-powered mental health platform built at Hack the Hammer 2,5,"on Dec 15, 2019"
darshitk19/AI-Powered_Mental_Health_Prediction_System,https://github.com/darshitk19/AI-Powered_Mental_Health_Prediction_System,"A deep learning project that predicts emotions from multiple data types — text, audio, and images. It uses CNNs for visual cues, RNNs for…",7,"on Jul 27, 2025"
amrita-thakur/mental-healthcare-chatbot,https://github.com/amrita-thakur/mental-healthcare-chatbot,This repository contains a mental healthcare chatbot application,5,"on Jan 22, 2025"
miriandres/Happy2Help-chatbot,https://github.com/miriandres/Happy2Help-chatbot,🧠 Happy2Help is your mental health chatbot,6,"on Oct 7, 2022"
deepakuy/mindbridge-ai-hackathon,https://github.com/deepakuy/mindbridge-ai-hackathon,AI-powered mental health early intervention system,0,"on Sep 11, 2025"
Adedolapo-Oguntayo/Basic-Needs-Basic-Rights-Kenya-Tech4Mental-Health,https://github.com/Adedolapo-Oguntayo/Basic-Needs-Basic-Rights-Kenya-Tech4Mental-Health,Around 1 in 4 people will experience a mental health problem this year. Low-income countries have an estimated treatment gap of 85% (as c…,10,"on Jun 13, 2020"
HongyiZhan/MentalHealth-GenAI-Chatbot,https://github.com/HongyiZhan/MentalHealth-GenAI-Chatbot,This project is not just about offering support for mental health concerns; it's a gateway to leveraging cutting-edge Natural Language Pr…,3,"on Oct 14, 2023"
TiffanyAllvin08/mental_health_assistant,https://github.com/TiffanyAllvin08/mental_health_assistant,"An **AI-powered wellness and productivity web app** built with **Gradio**, **Hugging Face Transformers**, and **PyTorch**. It helps users…",37,"on Sep 30, 2025"
Hymeis/H4H2025-HeartEcho,https://github.com/Hymeis/H4H2025-HeartEcho,AI-Powered Anonymous Mental Health Companion,4,"on Feb 16, 2025"
njacobsonlab/Pretrained-Actigraphy-Transformer,https://github.com/njacobsonlab/Pretrained-Actigraphy-Transformer,"This is the GitHub associated with the paper ""AI Foundation Models for Wearable Movement Data in Mental Health Research""",10,16 days ago
emirgocen03/mental-health-text-classification,https://github.com/emirgocen03/mental-health-text-classification,"🧠 Multi-model machine learning approach for mental health classification from social media text. Compares BERT, LSTM, and SVM models achi…",3,"on Jun 15, 2025"
Algeo3603/SuzieBrainBot_Synergy_4-kill-a-byte,https://github.com/Algeo3603/SuzieBrainBot_Synergy_4-kill-a-byte,AI-driven suicide detection and mental health monitoring based on EEG data.,3,"on Mar 16, 2024"
devansharora18/caress,https://github.com/devansharora18/caress,Caress is a revolutionary mental health app designed to streamline therapy processes and promote holistic well-being.,11,"on Oct 1, 2023"
Vijayaa21/dost.ai,https://github.com/Vijayaa21/dost.ai,Dost AI - Mental Health Companion Chatbot,15,24 days ago
judd69/tabula_rasa,https://github.com/judd69/tabula_rasa,AI-Powered Mental Health Companion,0,"on Jan 8, 2025"
Prity18/Mental-Health-AI,https://github.com/Prity18/Mental-Health-AI,,0,"on Oct 2, 2021"
anasaqeeel/Mental_Health_Ai,https://github.com/anasaqeeel/Mental_Health_Ai,,0,"on Nov 12, 2024"
smyt0058/ai-for-mental-health,https://github.com/smyt0058/ai-for-mental-health,A.I For Mental Health Open Source Project. OSO,13,"on Apr 26, 2018"
vamsikunal/Text-Based-AI-Bot-for-Monitoring-Mental-Health,https://github.com/vamsikunal/Text-Based-AI-Bot-for-Monitoring-Mental-Health,,5,"on Sep 12, 2023"
CAS-SIAT-XinHai/awesome-ai-mental-health,https://github.com/CAS-SIAT-XinHai/awesome-ai-mental-health,,1,"on Dec 13, 2025"
ArpitGupta4957/suno_samjho,https://github.com/ArpitGupta4957/suno_samjho,"Suno – Samjho is your personal mental health companion app that blends AI, speech & text analysis, and clinical models to help detect ear…",10,25 days ago
devTejaSrinivas/mental-health-AI,https://github.com/devTejaSrinivas/mental-health-AI,An AI powered web application that helps track and analyze mental health of patients,2,23 days ago
Rawan19/Conversational-AI-Chatbot-for-the-Elderly-and-Disabled,https://github.com/Rawan19/Conversational-AI-Chatbot-for-the-Elderly-and-Disabled,A virtual caregiver system that extracts the expression of mental and physical health states through dialogue-based human-computer intera…,14,"on Jan 29, 2023"
